Date,Actual_Price,Predicted_Price,Lower_Conf,Upper_Conf
2017-08-07,60.03,41.68,24.611258720016806,58.74874127998319
2017-08-08,59.86,41.68,24.56885184402421,58.79114815597579
2017-08-09,59.77,41.68,24.526549806277888,58.833450193722115
2017-08-10,58.03,41.68,24.484351833057975,58.87564816694203
2017-08-11,57.92,41.68,24.44225716011496,58.91774283988504
2017-08-14,58.87,41.68,24.40026503250818,58.95973496749182
2017-08-15,59.99,41.68,24.358374704447886,59.00162529555212
2017-08-16,60.65,41.68,24.316585439140656,59.04341456085935
2017-08-17,62.2,41.68,24.274896508638232,59.085103491361764
2017-08-18,63.07,41.68,24.23330719368954,59.12669280631046
2017-08-21,63.6,41.68,24.191816783595943,59.16818321640406
2017-08-22,65.42,41.68,24.150424576069508,59.20957542393049
2017-08-23,65.82,41.68,24.109129877094325,59.250870122905674
2017-08-24,65.5,41.68,24.067932000790744,59.29206799920925
2017-08-25,64.51,41.68,24.026830269282456,59.33316973071754
2017-08-28,63.53,41.68,23.98582401256635,59.374175987433645
2017-08-29,63.17,41.68,23.944912568385096,59.41508743161491
2017-08-30,64.16,41.68,23.904095282102336,59.45590471789767
2017-08-31,64.08,41.68,23.863371506580492,59.49662849341951
2017-09-01,64.05,41.68,23.822740602061042,59.53725939793895
2017-09-05,63.86,41.68,23.782201936047255,59.57779806395274
2017-09-06,63.32,41.68,23.741754883189326,59.61824511681067
2017-09-07,64.02,41.68,23.701398825171815,59.658601174828185
2017-09-08,63.58,41.68,23.66113315060337,59.69886684939663
2017-09-11,65.14,41.68,23.620957254908657,59.73904274509134
2017-09-12,65.36,41.68,23.58087054022245,59.77912945977755
2017-09-13,66.52,41.68,23.54087241528581,59.81912758471419
2017-09-14,66.08,41.68,23.500962295344387,59.85903770465561
2017-09-15,66.41,41.68,23.461139602048597,59.8988603979514
2017-09-18,67.11,41.68,23.42140376335592,59.93859623664408
2017-09-19,67.43,41.68,23.381754213434974,59.978245786565026
2017-09-20,66.92,41.68,23.34219039257152,60.017809607428475
2017-09-21,66.59,41.68,23.302711747076295,60.057288252923705
2017-09-22,67.34,41.68,23.263317729194572,60.09668227080543
2017-09-25,64.96,41.68,23.22400779701751,60.13599220298249
2017-09-26,64.45,41.68,23.184781414395182,60.17521858560482
2017-09-27,65.8,41.68,23.145638050851243,60.21436194914875
2017-09-28,65.58,41.68,23.10657718149924,60.25342281850076
2017-09-29,66.24,41.68,23.06759828696049,60.29240171303951
2017-10-02,66.51,41.68,23.028700853283503,60.331299146716496
2017-10-03,67.81,41.68,22.989884371864925,60.370115628135075
2017-10-04,67.66,41.68,22.951148339371944,60.40885166062806
2017-10-05,67.72,41.68,22.91249225766613,60.44750774233387
2017-10-06,67.85,41.68,22.873915633728718,60.486084366271285
